product_id,name,category,unit_cost,unit_price
P00001,XL Laptop Stand,Electronics,62.59,123.42
P00002,V2 Wireless Earbuds,Electronics,7.55,13.1
P00003,XL Webcam,Electronics,24.6,53.71
P00004,Classic Webcam,Electronics,44.57,68.96
P00005,V2 Laptop Stand,Electronics,100.38,148.7
P00006,XL Wireless Earbuds,Electronics,9.76,21.16
P00007,Pro Bluetooth Speaker,Electronics,79.1,158.99
P00008,V2 Laptop Stand,Electronics,51.5,73.03
P00009,Standard Power Bank,Electronics,59.0,89.63
P00010,Classic Bluetooth Speaker,Electronics,96.9,155.17
P00011,Mini Webcam,Electronics,86.68,176.69
P00012,XL Laptop Stand,Electronics,107.88,233.71
P00013,Mini USB-C Hub,Electronics,29.31,49.0
P00014,Classic Webcam,Electronics,50.07,74.71
P00015,V2 Webcam,Electronics,116.11,250.27
P00016,V2 Webcam,Electronics,72.88,120.57
P00017,Standard Power Bank,Electronics,59.88,101.95
P00018,V2 Laptop Stand,Electronics,41.72,68.8
P00019,V2 Power Bank,Electronics,114.45,227.33
P00020,Pro Bluetooth Speaker,Electronics,64.01,103.46
P00021,Classic Wireless Earbuds,Electronics,50.88,85.87
P00022,V2 Bluetooth Speaker,Electronics,6.95,12.84
P00023,Mini Laptop Stand,Electronics,109.2,192.64
P00024,Standard Power Bank,Electronics,71.63,164.41
P00025,Mini Bluetooth Speaker,Electronics,88.28,141.26
P00026,V2 Webcam,Electronics,95.05,210.62
P00027,Mini Power Bank,Electronics,62.85,135.81
P00028,Classic Cutting Board,Home & Kitchen,25.01,37.21
P00029,V2 Cast Iron Skillet,Home & Kitchen,34.0,72.34
P00030,V2 Cast Iron Skillet,Home & Kitchen,108.35,215.51
P00031,Mini Cast Iron Skillet,Home & Kitchen,29.91,65.33
P00032,Mini Air Fryer,Home & Kitchen,47.12,90.8
P00033,Standard Air Fryer,Home & Kitchen,58.58,127.69
P00034,Classic Throw Blanket,Home & Kitchen,113.54,166.23
P00035,Classic Cast Iron Skillet,Home & Kitchen,17.9,36.03
P00036,Mini Throw Blanket,Home & Kitchen,51.92,113.38
