order_id,customer_id,product_id,order_date,quantity,unit_price,channel,status
O000001,C00368,P00073,2023-12-14,2,71.66,web,completed
O000002,C00370,P00198,2023-07-07,1,69.86,phone,completed
O000003,C00281,P00191,2023-12-25,5,36.66,marketplace,completed
O000004,C00386,P00067,2024-03-16,1,207.04,mobile,completed
O000005,C00143,P00147,2024-01-28,2,212.94,phone,completed
O000006,C00122,P00036,2023-05-19,1,109.65,mobile,completed
O000007,C00421,P00151,2023-11-28,2,143.05,web,completed
O000008,C00171,P00060,2023-07-31,1,94.48,marketplace,completed
O000009,C00088,P00181,2024-11-26,2,29.74,mobile,completed
O000010,C00187,P00195,2023-12-15,1,48.98,marketplace,completed
O000011,C00208,P00155,2023-05-21,2,24.6,phone,completed
O000012,C00096,P00047,2024-09-30,2,65.78,phone,completed
O000013,C00543,P00025,2024-05-18,2,137.68,phone,completed
O000014,C00590,P00202,2023-07-17,1,167.12,web,completed
O000015,C00264,P00116,2023-12-04,4,151.12,mobile,completed
O000016,C00419,P00004,2023-01-05,2,65.28,marketplace,completed
O000017,C00407,P00171,2023-03-31,1,134.03,mobile,completed
O000018,C00408,P00207,2023-11-28,2,72.86,mobile,completed
O000019,C00347,P00042,2024-10-22,3,186.46,web,completed
O000020,C00228,P00027,2023-05-15,1,132.63,marketplace,completed
O000021,C00180,P00013,2023-03-09,2,49.61,phone,completed
O000022,C00238,P00107,2023-12-10,2,184.4,mobile,completed
O000023,C00405,P00136,2024-05-29,5,121.92,phone,completed
O000024,C00597,P00003,2024-03-22,4,54.48,marketplace,completed
O000025,C00356,P00003,2024-03-22,5,54.48,marketplace,completed
O000026,C00232,P00003,2024-03-22,2,54.48,mobile,completed
O000027,C00349,P00171,2023-12-18,1,133.92,web,completed
O000028,C00496,P00135,2024-09-13,3,126.26,mobile,completed
O000029,C00226,P00208,2024-08-09,4,17.22,mobile,completed
O000030,C00409,P00179,2024-09-11,2,19.16,marketplace,completed
O000031,C00195,P00066,2023-03-05,1,113.52,phone,completed
O000032,C00160,P00090,2024-07-24,1,134.18,web,completed
O000033,C00494,P00049,2023-04-11,2,51.62,marketplace,completed
O000034,C00287,P00208,2024-04-18,4,18.93,phone,completed
O000035,C00179,P00080,2023-07-10,1,27.99,phone,completed
O000036,C00628,P00190,2024-12-21,1,62.98,marketplace,completed
O000037,C00430,P00124,2023-06-06,5,81.11,marketplace,completed
O000038,C00277,P00168,2023-11-04,2,246.87,mobile,completed
O000039,C00512,P00188,2024-02-27,5,96.42,mobile,completed
O000040,C00168,P00145,2024-12-29,1,206.74,web,completed
O000041,C00571,P00129,2023-07-04,1,223.09,marketplace,completed
O000042,C00179,P00184,2023-10-20,5,74.93,marketplace,completed
O000043,C00149,P00204,2023-10-29,4,111.75,mobile,completed
O000044,C00234,P00155,2024-05-03,2,23.57,marketplace,completed
O000045,C00372,P00128,2023-09-28,2,63.08,phone,completed
O000046,C00082,P00059,2023-11-28,3,117.93,mobile,completed
O000047,C00086,P00043,2023-05-20,2,94.27,web,completed
O000048,C00135,P00067,2023-08-15,1,192.61,mobile,completed
O000049,C00562,P00146,2023-01-25,4,179.04,phone,completed
O000050,C00547,P00069,2023-04-24,2,189.26,marketplace,completed
O000051,C00011,P00215,2024-11-19,1,70.01,web,completed
O000052,C00307,P00070,2024-02-02,2,178.62,web,completed
O000053,C00405,P00134,2024-08-16,1,89.54,mobile,completed
O000054,C00628,P00170,2023-05-17,1,176.81,marketplace,completed
O000055,C00279,P00111,2023-09-02,1,199.7,phone,completed
O000056,C00449,P00018,2023-06-07,1,65.82,web,completed
O000057,C00475,P00061,2023-07-20,1,92.95,web,completed
O000058,C00257,P00079,2023-10-09,1,148.26,phone,completed
O000059,C00035,P00050,2024-10-02,1,103.91,mobile,completed
O000060,C00645,P00034,2023-12-21,2,159.68,web,completed
O000061,C00116,P00048,2024-07-31,1,30.67,mobile,completed
O000062,C00044,P00161,2024-04-27,1,30.29,phone,cancelled
O000063,C00641,P00057,2024-06-10,1,173.86,web,completed
O000064,C00356,P00080,2023-02-20,1,29.1,phone,completed
O000065,C00573,P00012,2024-07-20,3,216.21,marketplace,completed
